date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:50	1676/1676	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22180487-68c-561266bf977a9%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.eot	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.eot	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:47:51	53438/53438	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:50%20GMT	https://themes.getmotopress.com/villagio/accommodation-category/latium/?lang=de	themes.getmotopress.com/villagio/accommodation-category/latium/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:52	53301/53301	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:51%20GMT	https://themes.getmotopress.com/villagio/accommodation-category/marken/?lang=de	themes.getmotopress.com/villagio/accommodation-category/marken/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:52	62642/62642	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:52%20GMT	https://themes.getmotopress.com/villagio/villen/?lang=de	themes.getmotopress.com/villagio/villen/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:53	1676/1676	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22180487-68c-561266bf977a9%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.eot?	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/stard41d.eot	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:47:53	35255/35255	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:52%20GMT	https://themes.getmotopress.com/villagio/finde-deine-villa/?lang=de	themes.getmotopress.com/villagio/finde-deine-villa/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:55	1304/1304	---MCZ	200	added ('OK')	text/plain	etag:W/%2218048d-518-561266bf97b91%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.woff	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.woff	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:47:55	43383/43383	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:54%20GMT	https://themes.getmotopress.com/villagio/aktivitaeten/capri-bootstour-von-sorrent/?lang=de	themes.getmotopress.com/villagio/aktivitaeten/capri-bootstour-von-sorrent/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:55	39926/39926	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:55%20GMT	https://themes.getmotopress.com/villagio/aktivitaeten/?lang=de	themes.getmotopress.com/villagio/aktivitaeten/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:56	1512/1512	---MCZ	200	added ('OK')	text/plain	etag:W/%2218048a-5e8-561266bf97b91%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.ttf	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.ttf	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:47:56	52670/52670	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:55%20GMT	https://themes.getmotopress.com/villagio/dienstleistungen/?lang=de	themes.getmotopress.com/villagio/dienstleistungen/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:57	1391/1391	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2218048c-56f-561266bf97b91%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/star.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:47:58	41492/41492	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:58%20GMT	https://themes.getmotopress.com/villagio/aktivitaeten/geschichte-lernen-halbtagesausflug-nach-pompeji/?lang=de	themes.getmotopress.com/villagio/aktivitaeten/geschichte-lernen-halbtagesausflug-nach-pompeji/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:58	74653/74653	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:58%20GMT	https://themes.getmotopress.com/villagio/nieuws/?lang=de	themes.getmotopress.com/villagio/nieuws/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:47:58	41718/41718	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:58%20GMT	https://themes.getmotopress.com/villagio/aktivitaeten/sightseeing-neapel-tour-fuer-familien/?lang=de	themes.getmotopress.com/villagio/aktivitaeten/sightseeing-neapel-tour-fuer-familien/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:00	14280/14280	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22180489-37c8-561266bf97b91%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:00	93844/93844	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:47:59%20GMT	https://themes.getmotopress.com/villagio/accommodation/villa-am-strand-casa-aurora/?lang=de	themes.getmotopress.com/villagio/accommodation/villa-am-strand-casa-aurora/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:02	14280/14280	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22180489-37c8-561266bf97b91%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.eot?	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerced41d.eot	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:02	94323/94323	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:02%20GMT	https://themes.getmotopress.com/villagio/accommodation/strand-villa-toskana-maremma/?lang=de	themes.getmotopress.com/villagio/accommodation/strand-villa-toskana-maremma/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:02	94052/94052	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:02%20GMT	https://themes.getmotopress.com/villagio/accommodation/villa-bastilicata-grande/?lang=de	themes.getmotopress.com/villagio/accommodation/villa-bastilicata-grande/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:04	14176/14176	---MCZ	200	added ('OK')	text/plain	etag:W/%2218048b-3760-561266bf97b91%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.woff	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:04	56455/56455	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:03%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/aussen-pool/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/aussen-pool/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:06	14100/14100	---MCZ	200	added ('OK')	text/plain	etag:W/%22180486-3714-561266bf977a9%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.ttf	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.ttf	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:06	56489/56489	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:05%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/direkt-am-strand/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/direkt-am-strand/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:06	52811/52811	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:06%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/balkon/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/balkon/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:08	50740/50740	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22180488-c634-561266bf977a9%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/fonts/WooCommerce.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:08	59860/59860	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:07%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/essbereich/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/essbereich/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
13:48:09	553/553	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221803b5-229-561266bf96421%22	https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/loader.svg	themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/images/icons/loader.svg	(from https://themes.getmotopress.com/villagio/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.2.6)
13:48:10	59922/59922	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Mar%202018%2013:48:10%20GMT	https://themes.getmotopress.com/villagio/accommodation-facility/gratis-parkplatze/?lang=de	themes.getmotopress.com/villagio/accommodation-facility/gratis-parkplatze/index3322.html	(from https://themes.getmotopress.com/villagio/?lang=de)
